Vitvi17g00598	MYB30A
Vitvi14g01960	MYB30B
Vitvi08g00069	MYB60
Vitvi05g01732	MYB13
Vitvi07g00598	MYB14
Vitvi05g01733	MYB15
Vitvi14g00612	MYB135
Vitvi10g00345	MYB136
Vitvi12g00625	MYB137
Vitvi12g00626	MYB138
Vitvi19g01669	MYB139
Vitvi07g02009	MYB3
Vitvi03g00136	MYB4A
Vitvi04g01486	MYB4B
Vitvi01g00401	MYBC2-L1
Vitvi17g00232	MYBC2-L2
Vitvi14g00974	MYBC2-L3
Vitvi17g00231	MYBC2-L4
Vitvi18g01867	MYBC2-L5
Vitvi18g01868	MYBC2-L6
Vitvi08g01797	MYB5A
Vitvi06g00059	MYB5B
Vitvi15g00938	MYBPA1
Vitvi11g00099	MYBPA2
Vitvi11g00097	MYBPAR
Vitvi11g00098	MYBPA4
Vitvi09g00112	MYBPA5
Vitvi09g00113	MYBPA6
Vitvi04g00153	MYBPA7
Vitvi04g00155	MYBPA8
Vitvi04g00156	MYBPA9
Vitvi04g00157	MYBPA10
Vitvi04g00158	MYBPA11
Vitvi13g01359	MYBPA12
Vitvi02g01732	MYBPAL1
Vitvi04g00160	MYBPAL2
Vitvi09g00110	MYBPAL3
Vitvi02g01019	MYBA1
Vitvi02g01015	MYBA2
Vitvi02g01024	MYBA3
Vitvi02g01013	MYBA4
Vitvi14g00940	MYBA5
Vitvi14g00930	MYBA6
Vitvi14g00925	MYBA7
Vitvi02g01310	MYBA8
Vitvi02g01307	MYBA9
Vitvi02g01308	MYBA10
Vitvi02g01022	MYBA11
Vitvi02g01309	MYBA12
Vitvi01g00094	MYBAL1
Vitvi01g00095	MYBAL2
Vitvi07g00393	MYBF1
Vitvi05g00084	MYBF2
Vitvi01g01052	MYB140
Vitvi14g01987	MYB141
Vitvi17g00623	MYB142
Vitvi15g01161	MYB17A
Vitvi16g01017	MYB17B
Vitvi10g00329	MYB143
Vitvi12g00632	MYB144
Vitvi19g00306	MYB145
Vitvi07g00515	MYB55A
Vitvi14g00018	MYB55B
Vitvi05g00275	MYB146
Vitvi17g00895	MYB147
Vitvi07g03055	MYB148
Vitvi06g01321	MYB149
Vitvi08g01623	MYB150
Vitvi11g01283	MYB151
Vitvi18g00605	MYB152
Vitvi04g00049	MYB153
Vitvi11g00228	MYB154
Vitvi11g00498	MYB82A
Vitvi11g00499	MYB82B
Vitvi11g00502	MYB82C
Vitvi01g00737	MYB155
Vitvi14g03020	MYB156
Vitvi17g00822	MYB157
Vitvi16g01015	MYB158
Vitvi06g01139	MYB159
Vitvi12g00376	MYB160
Vitvi13g01266	MYB161
Vitvi19g00508	MYB162
Vitvi14g01750	MYB24
Vitvi05g00166	MYB108A
Vitvi07g00455	MYB108B
Vitvi01g00302	MYB163
Vitvi17g00309	MYB164
Vitvi01g01028	MYB165
Vitvi04g01697	MYB166
Vitvi08g00107	MYB167
Vitvi14g01976	MYB168
Vitvi17g00159	MYB169
Vitvi18g01209	MYB170
Vitvi03g00559	MYB171
Vitvi07g01676	MYB172
Vitvi13g00076	MYB173
Vitvi18g00725	MYB174
Vitvi18g00843	MYB175
Vitvi08g01298	MYB176
Vitvi13g00494	MYB177
Vitvi02g00725	MYB178
Vitvi07g02075	MYB179
Vitvi11g01323	MYB180
Vitvi16g00098	MYB181
Vitvi18g00406	MYB182
Vitvi17g00832	MYB98
Vitvi06g00611	MYB183
Vitvi14g01740	MYB184
Vitvi14g01845	MYB35A
Vitvi17g00510	MYB35B
Vitvi19g00758	MYB80
Vitvi06g00214	MYB185
Vitvi13g01737	MYB186
Vitvi08g01607	MYB27
Vitvi06g00414	MYB187
Vitvi14g01346	MYB121
Vitvi05g00861	MYB188
Vitvi14g01615	MYB40
Vitvi14g02430	MYB189
Vitvi02g01823	MYB190
Vitvi16g00775	MYB191
Vitvi01g00956	MYB192
Vitvi08g01203	MYB91A
Vitvi14g01247	MYB91B
Vitvi09g00142	MYB26
Vitvi01g01271	MYB67A
Vitvi19g01749	MYB67B
Vitvi02g00028	MYB103
Vitvi15g00594	MYB125
Vitvi16g00441	MYB193
Vitvi16g00442	MYB194
Vitvi16g01448	MYB195
Vitvi16g01449	MYB196
Vitvi02g00195	MYB197
Vitvi04g01842	MYB198
Vitvi14g00618	MYB199
